List of Organism, HGNC gene, uniprot id and protein names with a known structure and included in the database
Homo sapiens	ZAP70	ZAP70_HUMAN	Tyrosine-protein kinase ZAP-70
Mus musculus	ABL1	ABL1_MOUSE	Tyrosine-protein kinase ABL1
Mus musculus	ABL2	ABL2_MOUSE	Tyrosine-protein kinase ABL2
Mus musculus	AURKA	AURKA_MOUSE	Aurora kinase A
Mus musculus	BRSK2	BRSK2_MOUSE	Serine/threonine-protein kinase BRSK2
Mus musculus	BTK	BTK_MOUSE	Tyrosine-protein kinase BTK
Mus musculus	CAMK2D	KCC2D_MOUSE	Calcium/calmodulin-dependent protein kinase type II subunit delta
Mus musculus	CSNK1D	KC1D_MOUSE	Casein kinase I isoform delta
Mus musculus	DAPK2	DAPK2_MOUSE	Death-associated protein kinase 2
Mus musculus	EIF2AK3	E2AK3_MOUSE	Eukaryotic translation initiation factor 2-alpha kinase 3
Mus musculus	EPHA4	EPHA4_MOUSE	Ephrin type-A receptor 4
Mus musculus	EPHB2	EPHB2_MOUSE	Ephrin type-B receptor 2
Mus musculus	ERN1	ERN1_MOUSE	Serine/threonine-protein kinase/endoribonuclease IRE1
Mus musculus	GSK3B	GSK3B_MOUSE	Glycogen synthase kinase-3 beta
Mus musculus	JAK2	JAK2_MOUSE	Tyrosine-protein kinase JAK2
Mus musculus	LYN	LYN_MOUSE	Tyrosine-protein kinase Lyn
Mus musculus	M3K14	M3K14_MOUSE	Mitogen-activated protein kinase kinase kinase 14
Mus musculus	MAPK14	MK14_MOUSE	Mitogen-activated protein kinase 14
Mus musculus	MELK	MELK_MOUSE	Maternal embryonic leucine zipper kinase
Mus musculus	MLKL	MLKL_MOUSE	Mixed lineage kinase domain-like protein
Mus musculus	PRKACA	KAPCA_MOUSE	cAMP-dependent protein kinase catalytic subunit alpha
Mus musculus	PRKCI	KPCI_MOUSE	Protein kinase C iota type
Mus musculus	RIPK3	RIPK3_MOUSE	Receptor-interacting serine/threonine-protein kinase 3
Mus musculus	RIPK4	RIPK4_MOUSE	Receptor-interacting serine/threonine-protein kinase 4
Mus musculus	RPS6KA3	KS6A3_MOUSE	Ribosomal protein S6 kinase alpha-3
Mus musculus	SRC	SRC_MOUSE	Neuronal proto-oncogene tyrosine-protein kinase Src
